Original_Kalys_Name;Original_Kalys_Category;Kalys_Price;Matched_Sougui_Name;Matched_Category;Sougui_Reference
Le Miroir poisson;la-touche-deco, mobiliers-et-objets-deco;120;Mouton taille moyenne en laine ;Déco;MML-001-LR
La console SIENA;la-touche-deco, mobiliers-et-objets-deco;450;Mouton taille Grande en laine ;Déco;GML-001-LR
Le grand disque Noja marron;art-de-la-table, accessoires-de-table, les-rangements, rangements;80;Set de TABLE « Astéria »;Service de Table;SA-001-NA
Le grand disque Noja nature;art-de-la-table, accessoires-de-table, les-rangements, rangements;80;Set de TABLE « olivéa » en grès ;Service de Table;SOV-001-NA
Le miroir OASIS;la-touche-deco, mobiliers-et-objets-deco;130;Rame papier multi office;Déco;RP-001-LIB
La grande boîte NOJA nature;les-rangements, rangements;75;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Couffins & Foutas;FOT-COT
La grande boîte NOJA marron;les-bonnes-affaires, les-rangements, rangements;75;Diffuseur Sougui;Couffins & Foutas;DS-001-SO
Panier Noja nature /vert d'eau;paniers-et-trousses, rangements;90;Bougie Parfumée Sougui;Couffins & Foutas;BP-001-SO
Panier Noja nature/marron;paniers-et-trousses, rangements;90;Bon d'achat de 100dt;Couffins & Foutas;BA
Plateau Cuivre Martelé Argent;art-de-la-table, accessoires-de-table, rangements;120;Carafe et 6 Gobelets « Séli » en Grès – Élégance Naturelle et Authentique;Service de Table;CGS-002-2M
La petite boîte NOJA bleu d'eau;les-rangements, rangements;40;Diffuseur Sougui;Couffins & Foutas;DS-001-SO
Le disque Noja marron;art-de-la-table, accessoires-de-table, les-rangements, rangements;49;Tortue Noir en béton;Service de Table;TB-001-FP
Le disque Noja nature;art-de-la-table, accessoires-de-table, les-rangements, rangements;49;Set Gourmet l'éveil céramique Vet d'eau;Service de Table;SGE-001-NA
La boîte NOJA marron;les-rangements, rangements;56;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Couffins & Foutas;FOT-COT
La boîte NOJA nature;les-bonnes-affaires, les-rangements, rangements;56;Diffuseur Sougui;Couffins & Foutas;DS-001-SO
La carafe KARA miel rosé;art-de-la-table, verres-gobelets-et-carafes;65;Set de TABLE « Organica »;Service de Table;SO-001-NA
La carafe KARA Turquoise;art-de-la-table, verres-gobelets-et-carafes;65;Set de TABLE « Astéria »;Service de Table;SA-001-NA
Bougie LUNA craquelé au musc blanc;bougies-et-senteurs, la-touche-deco;72;Carafe Magon  en verre craquelé;Esprit Romance;CVC-003-OD
Bougie LUNA craquelé au jasmin;bougies-et-senteurs, la-touche-deco;72;Verre en verre craquelé type 1 didon;Esprit Romance;VVC-001-OD
Bougie EDEN Jasmin;bougies-et-senteurs, la-touche-deco;68;Verre en verre craquelé type 2 Chope;Esprit Romance;VVC-002-OD
L'étagère Oasis;la-touche-deco, mobiliers-et-objets-deco;190;Pack  saint valentin duo envoutant : planche + tasse;Déco;PDE-001-KER
La table Oasis;la-touche-deco, mobiliers-et-objets-deco;240;Tortue doré en beton;Déco;TB-002-FP
Le petit rectangle en chèvre;coussins-plaids-et-peaux, dans-de-beaux-draps;55;Transport marchnadise Sfax tunis ( béton);Déco;Transport
Le coussin en chèvre;coussins-plaids-et-peaux, dans-de-beaux-draps;85;Papier A3 350 G;Déco;Papier A3 350 G
La peau de mouton;coussins-plaids-et-peaux, dans-de-beaux-draps;99;Pack Andalous en Céramique – Élégance et Tradition;Déco;PAC-001-RL
La peau de chèvre;coussins-plaids-et-peaux, dans-de-beaux-draps;89;Set Calligraphie Arabe – Cruche, Sous-Plat & Planche en Céramique;Déco;SCA-001-RL
Le mouton à bascule;la-touche-deco;295;Pack Ottoman en Céramique – Élégance et Artisanat;Déco;POC-001-RL
Le petit mouton;la-touche-deco;50;Set Royal ottomans – Élégance Artisanale (8 Pièces);Déco;SRO-001-RL
L'entonnoir;les-bonnes-affaires, luminaires, luminaires-suspendus;240;Remplissage 7 ( cire );Luminaires;P-00002
La ruche;les-bonnes-affaires, luminaires, luminaires-suspendus;240;Collection Sidi Bou – Photophores artisanaux en cire parfumée;Luminaires;SDB-PPH
